,YES VOTES,DISTRICT,COUNTY,PARTY
1867,21453,SD 13,TOTAL,DEMOCRATIC PARTY
1868,1776,SD 13,WELD,LIBERTARIAN PARTY
1869,1776,SD 13,TOTAL,LIBERTARIAN PARTY
1870,39256,SD 15,LARIMER,DEMOCRATIC PARTY
1871,39256,SD 15,TOTAL,DEMOCRATIC PARTY
1872,44434,SD 15,LARIMER,REPUBLICAN PARTY
1873,44434,SD 15,TOTAL,REPUBLICAN PARTY
1874,5480,SD 16,BOULDER,DEMOCRATIC PARTY
1875,7689,SD 16,DENVER,DEMOCRATIC PARTY
1876,1791,SD 16,GILPIN,DEMOCRATIC PARTY
1877,32443,SD 16,JEFFERSON,DEMOCRATIC PARTY
1878,47403,SD 16,TOTAL,DEMOCRATIC PARTY
1879,2043,SD 16,BOULDER,REPUBLICAN PARTY
1880,5155,SD 16,DENVER,REPUBLICAN PARTY
1881,1401,SD 16,GILPIN,REPUBLICAN PARTY
1882,26555,SD 16,JEFFERSON,REPUBLICAN PARTY
1883,35154,SD 16,TOTAL,REPUBLICAN PARTY
1884,217,SD 16,BOULDER,LIBERTARIAN PARTY
1885,400,SD 16,DENVER,LIBERTARIAN PARTY
1886,152,SD 16,GILPIN,LIBERTARIAN PARTY
1887,1828,SD 16,JEFFERSON,LIBERTARIAN PARTY
1888,2597,SD 16,TOTAL,LIBERTARIAN PARTY
1889,39102,SD 20,JEFFERSON,REPUBLICAN PARTY
1890,39102,SD 20,TOTAL,REPUBLICAN PARTY
1891,49974,SD 20,JEFFERSON,DEMOCRATIC PARTY
1892,49974,SD 20,TOTAL,DEMOCRATIC PARTY
1893,3239,SD 20,JEFFERSON,LIBERTARIAN PARTY
1894,3239,SD 20,TOTAL,LIBERTARIAN PARTY
1895,42747,SD 22,JEFFERSON,DEMOCRATIC PARTY
1896,42747,SD 22,TOTAL,DEMOCRATIC PARTY
1897,30754,SD 22,JEFFERSON,REPUBLICAN PARTY
1898,30754,SD 22,TOTAL,REPUBLICAN PARTY
1899,27068,SD 24,ADAMS,REPUBLICAN PARTY
1900,27068,SD 24,TOTAL,REPUBLICAN PARTY
1901,35578,SD 24,ADAMS,DEMOCRATIC PARTY
1902,35578,SD 24,TOTAL,DEMOCRATIC PARTY
1903,2033,SD 24,ADAMS,LIBERTARIAN PARTY
1904,2033,SD 24,TOTAL,LIBERTARIAN PARTY
1905,3328,SD 24,ADAMS,UNAFFILIATED
1906,3328,SD 24,TOTAL,UNAFFILIATED
1907,34604,SD 30,DOUGLAS,DEMOCRATIC PARTY
1908,34604,SD 30,TOTAL,DEMOCRATIC PARTY
1909,43948,SD 30,DOUGLAS,REPUBLICAN PARTY
1910,43948,SD 30,TOTAL,REPUBLICAN PARTY
1911,4710,SD 30,DOUGLAS,INDEPENDENT
1912,4710,SD 30,TOTAL,INDEPENDENT
1913,53307,SD 32,DENVER,DEMOCRATIC PARTY
1914,53307,SD 32,TOTAL,DEMOCRATIC PARTY
1915,17294,SD 32,DENVER,REPUBLICAN PARTY
1916,17294,SD 32,TOTAL,REPUBLICAN PARTY
1917,3446,SD 32,DENVER,INDEPENDENT
1918,3446,SD 32,TOTAL,INDEPENDENT
1919,54312,SD 34,DENVER,DEMOCRATIC PARTY
1920,54312,SD 34,TOTAL,DEMOCRATIC PARTY
1921,11018,SD 34,DENVER,REPUBLICAN PARTY
1922,11018,SD 34,TOTAL,REPUBLICAN PARTY
