,YES VOTES,DISTRICT,COUNTY,PARTY
97223,13,SD 1,CHEYENNE,AMERICAN CONSTITUTION PARTY
97224,33,SD 1,CHEYENNE,AMERICAN CONSTITUTION PARTY
97225,36,SD 1,CHEYENNE,AMERICAN CONSTITUTION PARTY
97226,32,SD 1,CHEYENNE,AMERICAN CONSTITUTION PARTY
97227,6,SD 1,CHEYENNE,AMERICAN CONSTITUTION PARTY
97228,97,SD 1,ELBERT,AMERICAN CONSTITUTION PARTY
97229,246,SD 1,ELBERT,AMERICAN CONSTITUTION PARTY
97230,114,SD 1,ELBERT,AMERICAN CONSTITUTION PARTY
97231,155,SD 1,ELBERT,AMERICAN CONSTITUTION PARTY
97232,50,SD 1,ELBERT,AMERICAN CONSTITUTION PARTY
97233,181,SD 1,ELBERT,AMERICAN CONSTITUTION PARTY
97234,137,SD 1,ELBERT,AMERICAN CONSTITUTION PARTY
97235,87,SD 1,ELBERT,AMERICAN CONSTITUTION PARTY
97236,84,SD 1,ELBERT,AMERICAN CONSTITUTION PARTY
97237,178,SD 1,ELBERT,AMERICAN CONSTITUTION PARTY
97238,117,SD 1,ELBERT,AMERICAN CONSTITUTION PARTY
97239,143,SD 1,ELBERT,AMERICAN CONSTITUTION PARTY
97240,90,SD 1,ELBERT,AMERICAN CONSTITUTION PARTY
97241,177,SD 1,ELBERT,AMERICAN CONSTITUTION PARTY
97242,88,SD 1,ELBERT,AMERICAN CONSTITUTION PARTY
97243,23,SD 1,KIT CARSON,AMERICAN CONSTITUTION PARTY
97244,28,SD 1,KIT CARSON,AMERICAN CONSTITUTION PARTY
97245,39,SD 1,KIT CARSON,AMERICAN CONSTITUTION PARTY
97246,16,SD 1,KIT CARSON,AMERICAN CONSTITUTION PARTY
97247,33,SD 1,KIT CARSON,AMERICAN CONSTITUTION PARTY
97248,39,SD 1,KIT CARSON,AMERICAN CONSTITUTION PARTY
97249,25,SD 1,KIT CARSON,AMERICAN CONSTITUTION PARTY
97250,25,SD 1,KIT CARSON,AMERICAN CONSTITUTION PARTY
97251,21,SD 1,KIT CARSON,AMERICAN CONSTITUTION PARTY
97252,12,SD 1,KIT CARSON,AMERICAN CONSTITUTION PARTY
97253,16,SD 1,KIT CARSON,AMERICAN CONSTITUTION PARTY
97254,10,SD 1,KIT CARSON,AMERICAN CONSTITUTION PARTY
97255,17,SD 1,KIT CARSON,AMERICAN CONSTITUTION PARTY
97256,17,SD 1,LINCOLN,AMERICAN CONSTITUTION PARTY
97257,36,SD 1,LINCOLN,AMERICAN CONSTITUTION PARTY
