,YES VOTES,DISTRICT,COUNTY,PARTY
97258,13,SD 1,LINCOLN,AMERICAN CONSTITUTION PARTY
97259,17,SD 1,LINCOLN,AMERICAN CONSTITUTION PARTY
97260,16,SD 1,LINCOLN,AMERICAN CONSTITUTION PARTY
97261,25,SD 1,LINCOLN,AMERICAN CONSTITUTION PARTY
97262,36,SD 1,LINCOLN,AMERICAN CONSTITUTION PARTY
97263,2,SD 1,LINCOLN,AMERICAN CONSTITUTION PARTY
97264,14,SD 1,LINCOLN,AMERICAN CONSTITUTION PARTY
97265,6,SD 1,LINCOLN,AMERICAN CONSTITUTION PARTY
97266,2,SD 1,LINCOLN,AMERICAN CONSTITUTION PARTY
97267,4,SD 1,LINCOLN,AMERICAN CONSTITUTION PARTY
97268,27,SD 1,LINCOLN,AMERICAN CONSTITUTION PARTY
97269,63,SD 1,LOGAN,AMERICAN CONSTITUTION PARTY
97270,82,SD 1,LOGAN,AMERICAN CONSTITUTION PARTY
97271,51,SD 1,LOGAN,AMERICAN CONSTITUTION PARTY
97272,74,SD 1,LOGAN,AMERICAN CONSTITUTION PARTY
97273,66,SD 1,LOGAN,AMERICAN CONSTITUTION PARTY
97274,57,SD 1,LOGAN,AMERICAN CONSTITUTION PARTY
97275,75,SD 1,LOGAN,AMERICAN CONSTITUTION PARTY
97276,75,SD 1,LOGAN,AMERICAN CONSTITUTION PARTY
97277,60,SD 1,LOGAN,AMERICAN CONSTITUTION PARTY
97278,54,SD 1,LOGAN,AMERICAN CONSTITUTION PARTY
97279,50,SD 1,LOGAN,AMERICAN CONSTITUTION PARTY
97280,26,SD 1,LOGAN,AMERICAN CONSTITUTION PARTY
97281,31,SD 1,LOGAN,AMERICAN CONSTITUTION PARTY
97282,21,SD 1,LOGAN,AMERICAN CONSTITUTION PARTY
97283,36,SD 1,LOGAN,AMERICAN CONSTITUTION PARTY
97284,10,SD 1,LOGAN,AMERICAN CONSTITUTION PARTY
97285,119,SD 1,MORGAN,AMERICAN CONSTITUTION PARTY
97286,64,SD 1,MORGAN,AMERICAN CONSTITUTION PARTY
97287,112,SD 1,MORGAN,AMERICAN CONSTITUTION PARTY
97288,66,SD 1,MORGAN,AMERICAN CONSTITUTION PARTY
97289,70,SD 1,MORGAN,AMERICAN CONSTITUTION PARTY
97290,98,SD 1,MORGAN,AMERICAN CONSTITUTION PARTY
97291,81,SD 1,MORGAN,AMERICAN CONSTITUTION PARTY
97292,70,SD 1,MORGAN,AMERICAN CONSTITUTION PARTY
97293,103,SD 1,MORGAN,AMERICAN CONSTITUTION PARTY
97294,89,SD 1,MORGAN,AMERICAN CONSTITUTION PARTY
97295,58,SD 1,MORGAN,AMERICAN CONSTITUTION PARTY
97296,24,SD 1,MORGAN,AMERICAN CONSTITUTION PARTY
97297,45,SD 1,MORGAN,AMERICAN CONSTITUTION PARTY
97298,88,SD 1,MORGAN,AMERICAN CONSTITUTION PARTY
97299,100,SD 1,MORGAN,AMERICAN CONSTITUTION PARTY
97300,97,SD 1,MORGAN,AMERICAN CONSTITUTION PARTY
97301,79,SD 1,MORGAN,AMERICAN CONSTITUTION PARTY
97302,27,SD 1,PHILLIPS,AMERICAN CONSTITUTION PARTY
97303,6,SD 1,PHILLIPS,AMERICAN CONSTITUTION PARTY
97304,23,SD 1,PHILLIPS,AMERICAN CONSTITUTION PARTY
97305,39,SD 1,PHILLIPS,AMERICAN CONSTITUTION PARTY
97306,7,SD 1,PHILLIPS,AMERICAN CONSTITUTION PARTY
97307,29,SD 1,PHILLIPS,AMERICAN CONSTITUTION PARTY
97308,37,SD 1,PHILLIPS,AMERICAN CONSTITUTION PARTY
97309,13,SD 1,PHILLIPS,AMERICAN CONSTITUTION PARTY
97310,34,SD 1,SEDGWICK,AMERICAN CONSTITUTION PARTY
97311,28,SD 1,SEDGWICK,AMERICAN CONSTITUTION PARTY
97312,32,SD 1,SEDGWICK,AMERICAN CONSTITUTION PARTY
97313,24,SD 1,SEDGWICK,AMERICAN CONSTITUTION PARTY
97314,24,SD 1,SEDGWICK,AMERICAN CONSTITUTION PARTY
97315,16,SD 1,WASHINGTON,AMERICAN CONSTITUTION PARTY
97316,90,SD 1,WASHINGTON,AMERICAN CONSTITUTION PARTY
97317,4,SD 1,WASHINGTON,AMERICAN CONSTITUTION PARTY
97318,21,SD 1,WASHINGTON,AMERICAN CONSTITUTION PARTY
97319,16,SD 1,WASHINGTON,AMERICAN CONSTITUTION PARTY
97320,20,SD 1,WASHINGTON,AMERICAN CONSTITUTION PARTY
97321,221,SD 1,WELD,AMERICAN CONSTITUTION PARTY
97322,98,SD 1,WELD,AMERICAN CONSTITUTION PARTY
97323,155,SD 1,WELD,AMERICAN CONSTITUTION PARTY
97324,128,SD 1,WELD,AMERICAN CONSTITUTION PARTY
97325,136,SD 1,WELD,AMERICAN CONSTITUTION PARTY
97326,92,SD 1,WELD,AMERICAN CONSTITUTION PARTY
97327,154,SD 1,WELD,AMERICAN CONSTITUTION PARTY
97328,37,SD 1,WELD,AMERICAN CONSTITUTION PARTY
97329,23,SD 1,WELD,AMERICAN CONSTITUTION PARTY
97330,38,SD 1,WELD,AMERICAN CONSTITUTION PARTY
97331,158,SD 1,WELD,AMERICAN CONSTITUTION PARTY
97332,176,SD 1,WELD,AMERICAN CONSTITUTION PARTY
97333,218,SD 1,WELD,AMERICAN CONSTITUTION PARTY
97334,242,SD 1,WELD,AMERICAN CONSTITUTION PARTY
97335,43,SD 1,WELD,AMERICAN CONSTITUTION PARTY
97336,359,SD 1,WELD,AMERICAN CONSTITUTION PARTY
97337,43,SD 1,YUMA,AMERICAN CONSTITUTION PARTY
97338,40,SD 1,YUMA,AMERICAN CONSTITUTION PARTY
97339,14,SD 1,YUMA,AMERICAN CONSTITUTION PARTY
97340,38,SD 1,YUMA,AMERICAN CONSTITUTION PARTY
97341,5,SD 1,YUMA,AMERICAN CONSTITUTION PARTY
97342,29,SD 1,YUMA,AMERICAN CONSTITUTION PARTY
97343,9,SD 1,YUMA,AMERICAN CONSTITUTION PARTY
97344,16,SD 1,YUMA,AMERICAN CONSTITUTION PARTY
97345,11,SD 1,YUMA,AMERICAN CONSTITUTION PARTY
97346,24,SD 1,YUMA,AMERICAN CONSTITUTION PARTY
97347,22,SD 1,YUMA,AMERICAN CONSTITUTION PARTY
97348,33,SD 1,YUMA,AMERICAN CONSTITUTION PARTY
97349,21,SD 1,YUMA,AMERICAN CONSTITUTION PARTY
97350,26,SD 1,YUMA,AMERICAN CONSTITUTION PARTY
97351,95,SD 1,CHEYENNE,REPUBLICAN PARTY
97352,218,SD 1,CHEYENNE,REPUBLICAN PARTY
97353,280,SD 1,CHEYENNE,REPUBLICAN PARTY
97354,173,SD 1,CHEYENNE,REPUBLICAN PARTY
97355,48,SD 1,CHEYENNE,REPUBLICAN PARTY
97356,309,SD 1,ELBERT,REPUBLICAN PARTY
97357,936,SD 1,ELBERT,REPUBLICAN PARTY
97358,643,SD 1,ELBERT,REPUBLICAN PARTY
97359,747,SD 1,ELBERT,REPUBLICAN PARTY
97360,384,SD 1,ELBERT,REPUBLICAN PARTY
97361,781,SD 1,ELBERT,REPUBLICAN PARTY
97362,714,SD 1,ELBERT,REPUBLICAN PARTY
97363,423,SD 1,ELBERT,REPUBLICAN PARTY
97364,561,SD 1,ELBERT,REPUBLICAN PARTY
97365,724,SD 1,ELBERT,REPUBLICAN PARTY
97366,554,SD 1,ELBERT,REPUBLICAN PARTY
97367,620,SD 1,ELBERT,REPUBLICAN PARTY
97368,568,SD 1,ELBERT,REPUBLICAN PARTY
97369,726,SD 1,ELBERT,REPUBLICAN PARTY
97370,532,SD 1,ELBERT,REPUBLICAN PARTY
97371,222,SD 1,KIT CARSON,REPUBLICAN PARTY
97372,148,SD 1,KIT CARSON,REPUBLICAN PARTY
97373,212,SD 1,KIT CARSON,REPUBLICAN PARTY
97374,226,SD 1,KIT CARSON,REPUBLICAN PARTY
97375,302,SD 1,KIT CARSON,REPUBLICAN PARTY
97376,202,SD 1,KIT CARSON,REPUBLICAN PARTY
97377,183,SD 1,KIT CARSON,REPUBLICAN PARTY
97378,186,SD 1,KIT CARSON,REPUBLICAN PARTY
97379,211,SD 1,KIT CARSON,REPUBLICAN PARTY
97380,92,SD 1,KIT CARSON,REPUBLICAN PARTY
97381,148,SD 1,KIT CARSON,REPUBLICAN PARTY
97382,175,SD 1,KIT CARSON,REPUBLICAN PARTY
97383,198,SD 1,KIT CARSON,REPUBLICAN PARTY
97384,139,SD 1,LINCOLN,REPUBLICAN PARTY
97385,203,SD 1,LINCOLN,REPUBLICAN PARTY
97386,174,SD 1,LINCOLN,REPUBLICAN PARTY
97387,128,SD 1,LINCOLN,REPUBLICAN PARTY
97388,138,SD 1,LINCOLN,REPUBLICAN PARTY
97389,158,SD 1,LINCOLN,REPUBLICAN PARTY
97390,193,SD 1,LINCOLN,REPUBLICAN PARTY
97391,36,SD 1,LINCOLN,REPUBLICAN PARTY
97392,67,SD 1,LINCOLN,REPUBLICAN PARTY
97393,124,SD 1,LINCOLN,REPUBLICAN PARTY
97394,39,SD 1,LINCOLN,REPUBLICAN PARTY
97395,26,SD 1,LINCOLN,REPUBLICAN PARTY
97396,161,SD 1,LINCOLN,REPUBLICAN PARTY
97397,518,SD 1,LOGAN,REPUBLICAN PARTY
97398,414,SD 1,LOGAN,REPUBLICAN PARTY
97399,238,SD 1,LOGAN,REPUBLICAN PARTY
97400,406,SD 1,LOGAN,REPUBLICAN PARTY
97401,328,SD 1,LOGAN,REPUBLICAN PARTY
97402,438,SD 1,LOGAN,REPUBLICAN PARTY
97403,639,SD 1,LOGAN,REPUBLICAN PARTY
97404,728,SD 1,LOGAN,REPUBLICAN PARTY
97405,746,SD 1,LOGAN,REPUBLICAN PARTY
97406,530,SD 1,LOGAN,REPUBLICAN PARTY
97407,329,SD 1,LOGAN,REPUBLICAN PARTY
97408,241,SD 1,LOGAN,REPUBLICAN PARTY
97409,367,SD 1,LOGAN,REPUBLICAN PARTY
97410,243,SD 1,LOGAN,REPUBLICAN PARTY
97411,289,SD 1,LOGAN,REPUBLICAN PARTY
97412,160,SD 1,LOGAN,REPUBLICAN PARTY
97413,790,SD 1,MORGAN,REPUBLICAN PARTY
97414,317,SD 1,MORGAN,REPUBLICAN PARTY
97415,387,SD 1,MORGAN,REPUBLICAN PARTY
97416,490,SD 1,MORGAN,REPUBLICAN PARTY
97417,464,SD 1,MORGAN,REPUBLICAN PARTY
97418,391,SD 1,MORGAN,REPUBLICAN PARTY
97419,257,SD 1,MORGAN,REPUBLICAN PARTY
97420,243,SD 1,MORGAN,REPUBLICAN PARTY
97421,305,SD 1,MORGAN,REPUBLICAN PARTY
97422,431,SD 1,MORGAN,REPUBLICAN PARTY
97423,610,SD 1,MORGAN,REPUBLICAN PARTY
97424,149,SD 1,MORGAN,REPUBLICAN PARTY
97425,308,SD 1,MORGAN,REPUBLICAN PARTY
97426,311,SD 1,MORGAN,REPUBLICAN PARTY
97427,329,SD 1,MORGAN,REPUBLICAN PARTY
97428,400,SD 1,MORGAN,REPUBLICAN PARTY
97429,556,SD 1,MORGAN,REPUBLICAN PARTY
97430,272,SD 1,PHILLIPS,REPUBLICAN PARTY
97431,72,SD 1,PHILLIPS,REPUBLICAN PARTY
97432,194,SD 1,PHILLIPS,REPUBLICAN PARTY
97433,326,SD 1,PHILLIPS,REPUBLICAN PARTY
97434,160,SD 1,PHILLIPS,REPUBLICAN PARTY
97435,242,SD 1,PHILLIPS,REPUBLICAN PARTY
97436,304,SD 1,PHILLIPS,REPUBLICAN PARTY
97437,129,SD 1,PHILLIPS,REPUBLICAN PARTY
97438,244,SD 1,SEDGWICK,REPUBLICAN PARTY
97439,207,SD 1,SEDGWICK,REPUBLICAN PARTY
97440,217,SD 1,SEDGWICK,REPUBLICAN PARTY
97441,146,SD 1,SEDGWICK,REPUBLICAN PARTY
97442,190,SD 1,SEDGWICK,REPUBLICAN PARTY
97443,80,SD 1,WASHINGTON,REPUBLICAN PARTY
97444,1006,SD 1,WASHINGTON,REPUBLICAN PARTY
97445,121,SD 1,WASHINGTON,REPUBLICAN PARTY
97446,398,SD 1,WASHINGTON,REPUBLICAN PARTY
97447,155,SD 1,WASHINGTON,REPUBLICAN PARTY
97448,316,SD 1,WASHINGTON,REPUBLICAN PARTY
97449,1249,SD 1,WELD,REPUBLICAN PARTY
97450,317,SD 1,WELD,REPUBLICAN PARTY
97451,601,SD 1,WELD,REPUBLICAN PARTY
97452,415,SD 1,WELD,REPUBLICAN PARTY
97453,948,SD 1,WELD,REPUBLICAN PARTY
97454,431,SD 1,WELD,REPUBLICAN PARTY
97455,553,SD 1,WELD,REPUBLICAN PARTY
97456,246,SD 1,WELD,REPUBLICAN PARTY
97457,182,SD 1,WELD,REPUBLICAN PARTY
97458,243,SD 1,WELD,REPUBLICAN PARTY
97459,942,SD 1,WELD,REPUBLICAN PARTY
97460,1005,SD 1,WELD,REPUBLICAN PARTY
97461,785,SD 1,WELD,REPUBLICAN PARTY
97462,876,SD 1,WELD,REPUBLICAN PARTY
97463,239,SD 1,WELD,REPUBLICAN PARTY
97464,737,SD 1,WELD,REPUBLICAN PARTY
97465,272,SD 1,YUMA,REPUBLICAN PARTY
97466,257,SD 1,YUMA,REPUBLICAN PARTY
97467,130,SD 1,YUMA,REPUBLICAN PARTY
97468,515,SD 1,YUMA,REPUBLICAN PARTY
97469,123,SD 1,YUMA,REPUBLICAN PARTY
97470,371,SD 1,YUMA,REPUBLICAN PARTY
97471,99,SD 1,YUMA,REPUBLICAN PARTY
97472,127,SD 1,YUMA,REPUBLICAN PARTY
97473,223,SD 1,YUMA,REPUBLICAN PARTY
97474,244,SD 1,YUMA,REPUBLICAN PARTY
97475,305,SD 1,YUMA,REPUBLICAN PARTY
97476,324,SD 1,YUMA,REPUBLICAN PARTY
97477,340,SD 1,YUMA,REPUBLICAN PARTY
97478,332,SD 1,YUMA,REPUBLICAN PARTY
97479,289,SD 11,EL PASO,REPUBLICAN PARTY
97480,666,SD 11,EL PASO,REPUBLICAN PARTY
97481,538,SD 11,EL PASO,REPUBLICAN PARTY
97482,419,SD 11,EL PASO,REPUBLICAN PARTY
97483,286,SD 11,EL PASO,REPUBLICAN PARTY
97484,166,SD 11,EL PASO,REPUBLICAN PARTY
97485,193,SD 11,EL PASO,REPUBLICAN PARTY
97486,527,SD 11,EL PASO,REPUBLICAN PARTY
97487,432,SD 11,EL PASO,REPUBLICAN PARTY
97488,704,SD 11,EL PASO,REPUBLICAN PARTY
97489,657,SD 11,EL PASO,REPUBLICAN PARTY
97490,560,SD 11,EL PASO,REPUBLICAN PARTY
97491,593,SD 11,EL PASO,REPUBLICAN PARTY
97492,564,SD 11,EL PASO,REPUBLICAN PARTY
97493,508,SD 11,EL PASO,REPUBLICAN PARTY
97494,569,SD 11,EL PASO,REPUBLICAN PARTY
97495,494,SD 11,EL PASO,REPUBLICAN PARTY
97496,459,SD 11,EL PASO,REPUBLICAN PARTY
97497,729,SD 11,EL PASO,REPUBLICAN PARTY
97498,603,SD 11,EL PASO,REPUBLICAN PARTY
97499,541,SD 11,EL PASO,REPUBLICAN PARTY
97500,587,SD 11,EL PASO,REPUBLICAN PARTY
97501,283,SD 11,EL PASO,REPUBLICAN PARTY
97502,489,SD 11,EL PASO,REPUBLICAN PARTY
97503,482,SD 11,EL PASO,REPUBLICAN PARTY
97504,589,SD 11,EL PASO,REPUBLICAN PARTY
97505,673,SD 11,EL PASO,REPUBLICAN PARTY
97506,209,SD 11,EL PASO,REPUBLICAN PARTY
97507,290,SD 11,EL PASO,REPUBLICAN PARTY
97508,405,SD 11,EL PASO,REPUBLICAN PARTY
97509,474,SD 11,EL PASO,REPUBLICAN PARTY
97510,384,SD 11,EL PASO,DEMOCRATIC PARTY
97511,500,SD 11,EL PASO,DEMOCRATIC PARTY
97512,537,SD 11,EL PASO,DEMOCRATIC PARTY
97513,299,SD 11,EL PASO,DEMOCRATIC PARTY
97514,190,SD 11,EL PASO,DEMOCRATIC PARTY
97515,218,SD 11,EL PASO,DEMOCRATIC PARTY
97516,187,SD 11,EL PASO,DEMOCRATIC PARTY
97517,687,SD 11,EL PASO,DEMOCRATIC PARTY
97518,656,SD 11,EL PASO,DEMOCRATIC PARTY
97519,493,SD 11,EL PASO,DEMOCRATIC PARTY
97520,573,SD 11,EL PASO,DEMOCRATIC PARTY
97521,643,SD 11,EL PASO,DEMOCRATIC PARTY
97522,631,SD 11,EL PASO,DEMOCRATIC PARTY
97523,566,SD 11,EL PASO,DEMOCRATIC PARTY
97524,734,SD 11,EL PASO,DEMOCRATIC PARTY
97525,630,SD 11,EL PASO,DEMOCRATIC PARTY
97526,719,SD 11,EL PASO,DEMOCRATIC PARTY
97527,727,SD 11,EL PASO,DEMOCRATIC PARTY
97528,654,SD 11,EL PASO,DEMOCRATIC PARTY
97529,750,SD 11,EL PASO,DEMOCRATIC PARTY
97530,956,SD 11,EL PASO,DEMOCRATIC PARTY
97531,835,SD 11,EL PASO,DEMOCRATIC PARTY
97532,1013,SD 11,EL PASO,DEMOCRATIC PARTY
97533,894,SD 11,EL PASO,DEMOCRATIC PARTY
97534,854,SD 11,EL PASO,DEMOCRATIC PARTY
97535,721,SD 11,EL PASO,DEMOCRATIC PARTY
97536,648,SD 11,EL PASO,DEMOCRATIC PARTY
97537,525,SD 11,EL PASO,DEMOCRATIC PARTY
97538,572,SD 11,EL PASO,DEMOCRATIC PARTY
97539,475,SD 11,EL PASO,DEMOCRATIC PARTY
97540,544,SD 11,EL PASO,DEMOCRATIC PARTY
97541,59,SD 11,EL PASO,LIBERTARIAN PARTY
97542,74,SD 11,EL PASO,LIBERTARIAN PARTY
97543,84,SD 11,EL PASO,LIBERTARIAN PARTY
97544,46,SD 11,EL PASO,LIBERTARIAN PARTY
97545,33,SD 11,EL PASO,LIBERTARIAN PARTY
97546,17,SD 11,EL PASO,LIBERTARIAN PARTY
97547,30,SD 11,EL PASO,LIBERTARIAN PARTY
97548,96,SD 11,EL PASO,LIBERTARIAN PARTY
97549,91,SD 11,EL PASO,LIBERTARIAN PARTY
97550,93,SD 11,EL PASO,LIBERTARIAN PARTY
97551,87,SD 11,EL PASO,LIBERTARIAN PARTY
97552,93,SD 11,EL PASO,LIBERTARIAN PARTY
97553,92,SD 11,EL PASO,LIBERTARIAN PARTY
97554,83,SD 11,EL PASO,LIBERTARIAN PARTY
97555,75,SD 11,EL PASO,LIBERTARIAN PARTY
97556,83,SD 11,EL PASO,LIBERTARIAN PARTY
97557,69,SD 11,EL PASO,LIBERTARIAN PARTY
97558,88,SD 11,EL PASO,LIBERTARIAN PARTY
97559,90,SD 11,EL PASO,LIBERTARIAN PARTY
97560,48,SD 11,EL PASO,LIBERTARIAN PARTY
97561,40,SD 11,EL PASO,LIBERTARIAN PARTY
97562,81,SD 11,EL PASO,LIBERTARIAN PARTY
97563,60,SD 11,EL PASO,LIBERTARIAN PARTY
97564,84,SD 11,EL PASO,LIBERTARIAN PARTY
97565,78,SD 11,EL PASO,LIBERTARIAN PARTY
97566,88,SD 11,EL PASO,LIBERTARIAN PARTY
97567,114,SD 11,EL PASO,LIBERTARIAN PARTY
97568,85,SD 11,EL PASO,LIBERTARIAN PARTY
97569,91,SD 11,EL PASO,LIBERTARIAN PARTY
97570,37,SD 11,EL PASO,LIBERTARIAN PARTY
97571,93,SD 11,EL PASO,LIBERTARIAN PARTY
97572,52,SD 13,WELD,DEMOCRATIC PARTY
97573,287,SD 13,WELD,DEMOCRATIC PARTY
97574,287,SD 13,WELD,DEMOCRATIC PARTY
97575,183,SD 13,WELD,DEMOCRATIC PARTY
97576,238,SD 13,WELD,DEMOCRATIC PARTY
97577,108,SD 13,WELD,DEMOCRATIC PARTY
97578,316,SD 13,WELD,DEMOCRATIC PARTY
97579,285,SD 13,WELD,DEMOCRATIC PARTY
97580,254,SD 13,WELD,DEMOCRATIC PARTY
97581,300,SD 13,WELD,DEMOCRATIC PARTY
97582,231,SD 13,WELD,DEMOCRATIC PARTY
97583,354,SD 13,WELD,DEMOCRATIC PARTY
97584,270,SD 13,WELD,DEMOCRATIC PARTY
97585,287,SD 13,WELD,DEMOCRATIC PARTY
97586,266,SD 13,WELD,DEMOCRATIC PARTY
97587,146,SD 13,WELD,DEMOCRATIC PARTY
97588,385,SD 13,WELD,DEMOCRATIC PARTY
97589,232,SD 13,WELD,DEMOCRATIC PARTY
97590,257,SD 13,WELD,DEMOCRATIC PARTY
97591,206,SD 13,WELD,DEMOCRATIC PARTY
97592,158,SD 13,WELD,DEMOCRATIC PARTY
97593,391,SD 13,WELD,DEMOCRATIC PARTY
97594,176,SD 13,WELD,DEMOCRATIC PARTY
97595,226,SD 13,WELD,DEMOCRATIC PARTY
97596,240,SD 13,WELD,DEMOCRATIC PARTY
97597,115,SD 13,WELD,DEMOCRATIC PARTY
97598,20,SD 13,WELD,DEMOCRATIC PARTY
97599,0,SD 13,WELD,DEMOCRATIC PARTY
97600,255,SD 13,WELD,DEMOCRATIC PARTY
97601,626,SD 13,WELD,DEMOCRATIC PARTY
97602,312,SD 13,WELD,DEMOCRATIC PARTY
97603,320,SD 13,WELD,DEMOCRATIC PARTY
97604,328,SD 13,WELD,DEMOCRATIC PARTY
97605,329,SD 13,WELD,DEMOCRATIC PARTY
97606,522,SD 13,WELD,DEMOCRATIC PARTY
97607,338,SD 13,WELD,DEMOCRATIC PARTY
97608,213,SD 13,WELD,DEMOCRATIC PARTY
97609,385,SD 13,WELD,DEMOCRATIC PARTY
97610,213,SD 13,WELD,DEMOCRATIC PARTY
97611,367,SD 13,WELD,DEMOCRATIC PARTY
97612,266,SD 13,WELD,DEMOCRATIC PARTY
97613,118,SD 13,WELD,DEMOCRATIC PARTY
97614,334,SD 13,WELD,DEMOCRATIC PARTY
97615,183,SD 13,WELD,DEMOCRATIC PARTY
97616,266,SD 13,WELD,DEMOCRATIC PARTY
97617,223,SD 13,WELD,DEMOCRATIC PARTY
97618,281,SD 13,WELD,DEMOCRATIC PARTY
97619,273,SD 13,WELD,DEMOCRATIC PARTY
97620,413,SD 13,WELD,DEMOCRATIC PARTY
97621,190,SD 13,WELD,DEMOCRATIC PARTY
97622,324,SD 13,WELD,DEMOCRATIC PARTY
97623,62,SD 13,WELD,DEMOCRATIC PARTY
97624,207,SD 13,WELD,DEMOCRATIC PARTY
97625,359,SD 13,WELD,DEMOCRATIC PARTY
97626,325,SD 13,WELD,DEMOCRATIC PARTY
97627,209,SD 13,WELD,DEMOCRATIC PARTY
97628,246,SD 13,WELD,DEMOCRATIC PARTY
97629,122,SD 13,WELD,DEMOCRATIC PARTY
97630,333,SD 13,WELD,REPUBLICAN PARTY
97631,723,SD 13,WELD,REPUBLICAN PARTY
97632,720,SD 13,WELD,REPUBLICAN PARTY
97633,514,SD 13,WELD,REPUBLICAN PARTY
97634,514,SD 13,WELD,REPUBLICAN PARTY
97635,98,SD 13,WELD,REPUBLICAN PARTY
97636,735,SD 13,WELD,REPUBLICAN PARTY
97637,608,SD 13,WELD,REPUBLICAN PARTY
97638,711,SD 13,WELD,REPUBLICAN PARTY
97639,781,SD 13,WELD,REPUBLICAN PARTY
97640,632,SD 13,WELD,REPUBLICAN PARTY
97641,574,SD 13,WELD,REPUBLICAN PARTY
97642,502,SD 13,WELD,REPUBLICAN PARTY
97643,649,SD 13,WELD,REPUBLICAN PARTY
97644,665,SD 13,WELD,REPUBLICAN PARTY
97645,297,SD 13,WELD,REPUBLICAN PARTY
97646,648,SD 13,WELD,REPUBLICAN PARTY
97647,480,SD 13,WELD,REPUBLICAN PARTY
97648,703,SD 13,WELD,REPUBLICAN PARTY
97649,493,SD 13,WELD,REPUBLICAN PARTY
97650,366,SD 13,WELD,REPUBLICAN PARTY
97651,959,SD 13,WELD,REPUBLICAN PARTY
97652,430,SD 13,WELD,REPUBLICAN PARTY
97653,419,SD 13,WELD,REPUBLICAN PARTY
97654,558,SD 13,WELD,REPUBLICAN PARTY
97655,261,SD 13,WELD,REPUBLICAN PARTY
97656,46,SD 13,WELD,REPUBLICAN PARTY
97657,10,SD 13,WELD,REPUBLICAN PARTY
97658,259,SD 13,WELD,REPUBLICAN PARTY
97659,396,SD 13,WELD,REPUBLICAN PARTY
97660,402,SD 13,WELD,REPUBLICAN PARTY
97661,446,SD 13,WELD,REPUBLICAN PARTY
97662,230,SD 13,WELD,REPUBLICAN PARTY
97663,393,SD 13,WELD,REPUBLICAN PARTY
97664,374,SD 13,WELD,REPUBLICAN PARTY
97665,335,SD 13,WELD,REPUBLICAN PARTY
97666,484,SD 13,WELD,REPUBLICAN PARTY
97667,270,SD 13,WELD,REPUBLICAN PARTY
97668,432,SD 13,WELD,REPUBLICAN PARTY
97669,572,SD 13,WELD,REPUBLICAN PARTY
97670,631,SD 13,WELD,REPUBLICAN PARTY
97671,337,SD 13,WELD,REPUBLICAN PARTY
97672,393,SD 13,WELD,REPUBLICAN PARTY
97673,297,SD 13,WELD,REPUBLICAN PARTY
97674,326,SD 13,WELD,REPUBLICAN PARTY
97675,238,SD 13,WELD,REPUBLICAN PARTY
97676,419,SD 13,WELD,REPUBLICAN PARTY
