,YES VOTES,DISTRICT,COUNTY,PARTY
2880,27779,SD 4,DOUGLAS,DEMOCRATIC PARTY
2882,62981,SD 4,DOUGLAS,REPUBLICAN PARTY
2884,13748,SD 8,GARFIELD,REPUBLICAN PARTY
2885,4763,SD 8,GRAND,REPUBLICAN PARTY
2886,611,SD 8,JACKSON,REPUBLICAN PARTY
2887,5205,SD 8,MOFFAT,REPUBLICAN PARTY
2888,2802,SD 8,RIO BLANCO,REPUBLICAN PARTY
2889,6290,SD 8,ROUTT,REPUBLICAN PARTY
2890,6107,SD 8,SUMMIT,REPUBLICAN PARTY
2892,11353,SD 8,GARFIELD,DEMOCRATIC PARTY
2893,3535,SD 8,GRAND,DEMOCRATIC PARTY
2894,196,SD 8,JACKSON,DEMOCRATIC PARTY
2895,1074,SD 8,MOFFAT,DEMOCRATIC PARTY
2896,487,SD 8,RIO BLANCO,DEMOCRATIC PARTY
2897,6924,SD 8,ROUTT,DEMOCRATIC PARTY
2898,8961,SD 8,SUMMIT,DEMOCRATIC PARTY
2900,24430,SD 10,EL PASO,DEMOCRATIC PARTY
2902,47832,SD 10,EL PASO,REPUBLICAN PARTY
2904,45938,SD 12,EL PASO,REPUBLICAN PARTY
2906,15071,SD 12,EL PASO,LIBERTARIAN PARTY
2908,52902,SD 14,LARIMER,DEMOCRATIC PARTY
2910,32886,SD 14,LARIMER,REPUBLICAN PARTY
2912,57649,SD 17,BOULDER,DEMOCRATIC PARTY
2914,67799,SD 18,BOULDER,DEMOCRATIC PARTY
2916,17370,SD 18,BOULDER,REPUBLICAN PARTY
2918,37592,SD 19,JEFFERSON,REPUBLICAN PARTY
2920,39070,SD 19,JEFFERSON,DEMOCRATIC PARTY
2922,5112,SD 19,JEFFERSON,LIBERTARIAN PARTY
2924,38428,SD 21,ADAMS,DEMOCRATIC PARTY
2926,352,SD 21,ADAMS,REPUBLICAN PARTY
2928,18888,SD 23,BROOMFIELD,DEMOCRATIC PARTY
2929,3981,SD 23,LARIMER,DEMOCRATIC PARTY
2930,17412,SD 23,WELD,DEMOCRATIC PARTY
2932,16517,SD 23,BROOMFIELD,REPUBLICAN PARTY
2933,7713,SD 23,LARIMER,REPUBLICAN PARTY
2934,31298,SD 23,WELD,REPUBLICAN PARTY
2936,27678,SD 25,ADAMS,DEMOCRATIC PARTY
2938,30074,SD 25,ADAMS,REPUBLICAN PARTY
2940,42145,SD 26,ARAPAHOE,DEMOCRATIC PARTY
