,YES VOTES,DISTRICT,COUNTY,PARTY
2942,36666,SD 26,ARAPAHOE,REPUBLICAN PARTY
2944,44169,SD 27,ARAPAHOE,REPUBLICAN PARTY
2946,38489,SD 27,ARAPAHOE,DEMOCRATIC PARTY
2948,39143,SD 28,ARAPAHOE,DEMOCRATIC PARTY
2950,31096,SD 28,ARAPAHOE,REPUBLICAN PARTY
2952,22503,SD 29,ARAPAHOE,REPUBLICAN PARTY
2954,30998,SD 29,ARAPAHOE,DEMOCRATIC PARTY
2956,3698,SD 29,ARAPAHOE,LIBERTARIAN PARTY
2958,1260,SD 31,ARAPAHOE,REPUBLICAN PARTY
2959,24008,SD 31,DENVER,REPUBLICAN PARTY
2961,2238,SD 31,ARAPAHOE,DEMOCRATIC PARTY
2962,55555,SD 31,DENVER,DEMOCRATIC PARTY
2964,12564,SD 33,DENVER,REPUBLICAN PARTY
2966,57049,SD 33,DENVER,DEMOCRATIC PARTY
2968,3809,SD 35,ALAMOSA,REPUBLICAN PARTY
2969,1692,SD 35,BACA,REPUBLICAN PARTY
2970,1253,SD 35,BENT,REPUBLICAN PARTY
2971,2186,SD 35,CONEJOS,REPUBLICAN PARTY
2972,651,SD 35,COSTILLA,REPUBLICAN PARTY
2973,1048,SD 35,CROWLEY,REPUBLICAN PARTY
2974,2066,SD 35,CUSTER,REPUBLICAN PARTY
2975,1836,SD 35,HUERFANO,REPUBLICAN PARTY
2976,708,SD 35,KIOWA,REPUBLICAN PARTY
2977,2985,SD 35,LAS ANIMAS,REPUBLICAN PARTY
2978,371,SD 35,MINERAL,REPUBLICAN PARTY
2979,5324,SD 35,OTERO,REPUBLICAN PARTY
2980,3538,SD 35,PROWERS,REPUBLICAN PARTY
2981,6721,SD 35,PUEBLO,REPUBLICAN PARTY
2982,3526,SD 35,RIO GRANDE,REPUBLICAN PARTY
2983,1166,SD 35,SAGUACHE,REPUBLICAN PARTY
2985,2816,SD 35,ALAMOSA,DEMOCRATIC PARTY
2986,270,SD 35,BACA,DEMOCRATIC PARTY
2987,570,SD 35,BENT,DEMOCRATIC PARTY
2988,1755,SD 35,CONEJOS,DEMOCRATIC PARTY
2989,1060,SD 35,COSTILLA,DEMOCRATIC PARTY
2990,362,SD 35,CROWLEY,DEMOCRATIC PARTY
2991,734,SD 35,CUSTER,DEMOCRATIC PARTY
2992,1728,SD 35,HUERFANO,DEMOCRATIC PARTY
2993,80,SD 35,KIOWA,DEMOCRATIC PARTY
2994,3507,SD 35,LAS ANIMAS,DEMOCRATIC PARTY
2995,210,SD 35,MINERAL,DEMOCRATIC PARTY
2996,2809,SD 35,OTERO,DEMOCRATIC PARTY
2997,1088,SD 35,PROWERS,DEMOCRATIC PARTY
2998,3139,SD 35,PUEBLO,DEMOCRATIC PARTY
2999,1811,SD 35,RIO GRANDE,DEMOCRATIC PARTY
3000,1419,SD 35,SAGUACHE,DEMOCRATIC PARTY
3002,253,SD 35,ALAMOSA,LIBERTARIAN PARTY
3003,88,SD 35,BACA,LIBERTARIAN PARTY
3004,66,SD 35,BENT,LIBERTARIAN PARTY
3005,75,SD 35,CONEJOS,LIBERTARIAN PARTY
3006,81,SD 35,COSTILLA,LIBERTARIAN PARTY
3007,84,SD 35,CROWLEY,LIBERTARIAN PARTY
3008,156,SD 35,CUSTER,LIBERTARIAN PARTY
3009,163,SD 35,HUERFANO,LIBERTARIAN PARTY
3010,18,SD 35,KIOWA,LIBERTARIAN PARTY
3011,280,SD 35,LAS ANIMAS,LIBERTARIAN PARTY
3012,33,SD 35,MINERAL,LIBERTARIAN PARTY
3013,290,SD 35,OTERO,LIBERTARIAN PARTY
3014,192,SD 35,PROWERS,LIBERTARIAN PARTY
3015,519,SD 35,PUEBLO,LIBERTARIAN PARTY
3016,205,SD 35,RIO GRANDE,LIBERTARIAN PARTY
3017,165,SD 35,SAGUACHE,LIBERTARIAN PARTY
