,DISTRICT,COUNTY,ACN-ACTIVE,APV-ACTIVE,DEM-ACTIVE,GRN-ACTIVE,LBR-ACTIVE,REP-ACTIVE,UAF-ACTIVE,UNI-ACTIVE,ACTIVE TOTAL,ACN-INACTIVE,APV-INACTIVE,DEM-INACTIVE,GRN-INACTIVE,LBR-INACTIVE,REP-INACTIVE,UAF-INACTIVE,UNI-INACTIVE,INACTIVE TOTAL,ACN-PREREG,APV-PREREG,DEM-PREREG,GRN-PREREG,LBR-PREREG,REP-PREREG,UAF-PREREG,UNI-PREREG,PREREG TOTAL,GRAND TOTAL
47,SD 8,SUMMIT,40.0,0.0,6029,96.0,255,4034,9016,10.0,19480,15.0,0.0,2052,66.0,118.0,1679,3887,1.0,7818,1.0,0.0,57.0,1.0,0.0,39.0,167.0,0.0,265.0,27563
49,SD 9,EL PASO,316.0,2.0,17604,205.0,1543,56406,40076,26.0,116178,57.0,0.0,2214,32.0,250.0,6268,5941,3.0,14765,8.0,0.0,175.0,2.0,12.0,718.0,1178.0,1.0,2094.0,133037
51,SD 10,EL PASO,392.0,6.0,18772,248.0,1429,37548,34884,45.0,93324,90.0,0.0,3252,56.0,276.0,5511,7787,7.0,16979,1.0,0.0,126.0,1.0,13.0,261.0,602.0,1.0,1005.0,111308
53,SD 11,EL PASO,424.0,1.0,23514,361.0,1246,17420,29987,76.0,73029,133.0,0.0,5988,139.0,338.0,3840,10549,17.0,21004,2.0,0.0,142.0,6.0,6.0,63.0,396.0,0.0,615.0,94648
55,SD 12,EL PASO,365.0,1.0,18210,203.0,1271,32882,31579,39.0,84550,88.0,0.0,3536,53.0,266.0,5670,7940,7.0,17560,1.0,0.0,147.0,3.0,18.0,266.0,637.0,1.0,1073.0,103183
57,SD 13,WELD,400.0,15.0,21052,185.0,862,27081,31985,49.0,81629,87.0,0.0,3438,48.0,164.0,3772,7056,9.0,14574,3.0,0.0,179.0,0.0,10.0,222.0,726.0,1.0,1141.0,97344
59,SD 14,LARIMER,240.0,3.0,35062,458.0,1574,23820,43922,26.0,105105,61.0,0.0,4844,120.0,369.0,4111,10564,7.0,20076,5.0,0.0,327.0,6.0,8.0,222.0,862.0,1.0,1431.0,126612
61,SD 15,LARIMER,340.0,2.0,25815,307.0,1237,38539,42916,25.0,109181,56.0,0.0,2395,51.0,180.0,3730,6339,2.0,12753,5.0,0.0,203.0,3.0,12.0,346.0,802.0,1.0,1372.0,123306
63,SD 16,BOULDER,14.0,0.0,3653,27.0,122,1769,4032,3.0,9620,1.0,0.0,369,6.0,30.0,261,658,0.0,1325,0.0,0.0,70.0,0.0,0.0,22.0,125.0,0.0,217.0,11162
64,SD 16,DENVER,50.0,0.0,6144,48.0,239,4604,6708,12.0,17805,9.0,0.0,672,10.0,40.0,580,1110,1.0,2422,1.0,0.0,44.0,0.0,5.0,36.0,109.0,0.0,195.0,20422
65,SD 16,GILPIN,15.0,0.0,1271,18.0,58,1132,1921,2.0,4417,7.0,0.0,200,10.0,15.0,171,373,0.0,776,0.0,0.0,8.0,0.0,1.0,4.0,24.0,0.0,37.0,5230
66,SD 16,JEFFERSON,134.0,3.0,20551,204.0,964,23192,30269,23.0,75340,16.0,0.0,2131,30.0,149.0,2737,4227,3.0,9293,3.0,0.0,187.0,1.0,9.0,191.0,585.0,0.0,976.0,85609
68,SD 17,BOULDER,179.0,4.0,38869,362.0,1086,19784,40730,36.0,101050,34.0,0.0,3482,53.0,147.0,2122,5426,2.0,11266,1.0,2.0,389.0,3.0,9.0,151.0,775.0,0.0,1330.0,113646
70,SD 18,BOULDER,95.0,10.0,51107,567.0,1097,10994,38115,21.0,102006,35.0,0.0,7989,211.0,491.0,2420,9979,10.0,21135,4.0,0.0,441.0,2.0,11.0,57.0,555.0,0.0,1070.0,124211
72,SD 19,JEFFERSON,274.0,3.0,30677,242.0,1190,27328,40102,37.0,99853,24.0,0.0,3325,42.0,171.0,3069,5791,4.0,12426,3.0,0.0,242.0,3.0,10.0,228.0,699.0,0.0,1185.0,113464
74,SD 20,JEFFERSON,262.0,3.0,35588,322.0,1435,32767,46234,44.0,116655,42.0,0.0,3798,71.0,175.0,3393,6634,3.0,14116,2.0,0.0,240.0,5.0,10.0,236.0,812.0,0.0,1305.0,132076
76,SD 21,ADAMS,367.0,3.0,29664,191.0,814,14242,30010,36.0,75327,43.0,0.0,3740,35.0,110.0,1963,5451,4.0,11346,5.0,0.0,228.0,0.0,0.0,70.0,868.0,3.0,1174.0,87847
78,SD 22,JEFFERSON,270.0,7.0,30862,265.0,1160,26790,38530,40.0,97924,57.0,0.0,4086,52.0,194.0,3436,6460,5.0,14290,1.0,0.0,218.0,1.0,9.0,171.0,700.0,0.0,1100.0,113314
80,SD 23,BROOMFIELD,77.0,2.0,13756,102.0,570,11935,18751,10.0,45203,11.0,0.0,1703,20.0,97.0,1672,3212,1.0,6716,0.0,0.0,146.0,1.0,4.0,118.0,431.0,2.0,702.0,52621
81,SD 23,LARIMER,35.0,0.0,2765,26.0,168,6596,5599,3.0,15192,5.0,0.0,209,3.0,14.0,470,593,0.0,1294,1.0,0.0,42.0,1.0,5.0,97.0,144.0,0.0,290.0,16776
82,SD 23,WELD,189.0,2.0,13389,123.0,837,25896,25419,20.0,65875,22.0,0.0,1332,16.0,82.0,2797,3183,2.0,7434,7.0,0.0,126.0,4.0,2.0,281.0,641.0,2.0,1063.0,74372
84,SD 24,ADAMS,315.0,3.0,29849,233.0,1108,24699,37853,43.0,94103,40.0,0.0,3325,35.0,140.0,3139,6098,3.0,12780,2.0,0.0,260.0,3.0,5.0,205.0,834.0,0.0,1309.0,108192
86,SD 25,ADAMS,321.0,7.0,26317,191.0,869,20706,32038,49.0,80498,56.0,0.0,3581,38.0,112.0,2520,5815,3.0,12125,2.0,0.0,188.0,0.0,8.0,192.0,874.0,2.0,1266.0,93889
88,SD 26,ARAPAHOE,265.0,10.0,31885,302.0,1279,25662,36792,65.0,96260,26.0,0.0,4880,45.0,168.0,3425,8056,2.0,16602,3.0,0.0,254.0,5.0,7.0,197.0,733.0,1.0,1200.0,114062
90,SD 27,ARAPAHOE,145.0,5.0,28365,194.0,1042,32499,37226,21.0,99497,12.0,0.0,2662,27.0,86.0,3534,5190,1.0,11512,4.0,0.0,458.0,5.0,20.0,431.0,1291.0,1.0,2210.0,113219
92,SD 28,ARAPAHOE,263.0,6.0,31908,233.0,1072,21933,35455,39.0,90909,31.0,0.0,4593,31.0,108.0,3078,6750,0.0,14591,9.0,0.0,367.0,3.0,14.0,176.0,844.0,1.0,1414.0,106914
94,SD 29,ARAPAHOE,300.0,4.0,28564,217.0,836,18287,29377,51.0,77636,36.0,0.0,5571,56.0,106.0,2791,7687,5.0,16252,6.0,0.0,262.0,2.0,8.0,147.0,905.0,1.0,1331.0,95219
96,SD 30,DOUGLAS,151.0,2.0,23427,168.0,1134,42921,38941,21.0,106765,26.0,0.0,2504,30.0,123.0,5006,5051,1.0,12741,9.0,1.0,320.0,4.0,13.0,675.0,1656.0,0.0,2678.0,122184
98,SD 31,ARAPAHOE,6.0,0.0,1796,24.0,87,737,1722,4.0,4376,1.0,0.0,377,3.0,8.0,225,569,1.0,1184,0.0,0.0,12.0,0.0,0.0,5.0,13.0,0.0,30.0,5590
99,SD 31,DENVER,206.0,5.0,47069,406.0,1315,15186,37514,37.0,101738,47.0,0.0,6833,122.0,324.0,2603,8445,8.0,18382,4.0,0.0,244.0,1.0,5.0,45.0,366.0,1.0,666.0,120786
101,SD 32,DENVER,210.0,4.0,44122,311.0,1151,15111,37855,53.0,98817,45.0,0.0,5167,95.0,255.0,2176,6648,9.0,14395,5.0,0.0,238.0,2.0,4.0,44.0,567.0,5.0,865.0,114077
103,SD 33,DENVER,351.0,7.0,54553,381.0,889,8341,34987,68.0,99577,138.0,0.0,7468,150.0,263.0,1850,8060,28.0,17957,6.0,0.0,511.0,1.0,9.0,37.0,1085.0,2.0,1651.0,119185
105,SD 34,DENVER,294.0,10.0,45947,382.0,1262,10111,36808,60.0,94874,79.0,0.0,6493,128.0,307.0,2463,8034,13.0,17517,6.0,0.0,222.0,2.0,4.0,19.0,499.0,1.0,753.0,113144
107,SD 35,ALAMOSA,49.0,0.0,3145,23.0,76,2504,2834,10.0,8641,9.0,0.0,509,12.0,18.0,387,806,1.0,1742,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,12.0,10395
108,SD 35,BACA,12.0,0.0,491,2.0,14,1320,739,2.0,2580,1.0,0.0,34,0.0,2.0,91,140,0.0,268,0.0,0.0,2.0,0.0,0.0,15.0,31.0,0.0,48.0,2896
109,SD 35,BENT,17.0,0.0,718,7.0,19,968,799,1.0,2529,3.0,0.0,167,0.0,1.0,147,263,0.0,581,0.0,0.0,4.0,0.0,1.0,12.0,28.0,0.0,45.0,3155
110,SD 35,CONEJOS,9.0,0.0,2260,4.0,19,1733,871,1.0,4897,0.0,0.0,224,1.0,2.0,177,177,0.0,581,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,5481
111,SD 35,COSTILLA,17.0,0.0,1553,9.0,20,345,557,1.0,2502,0.0,0.0,105,1.0,7.0,70,160,0.0,343,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2847
112,SD 35,CROWLEY,10.0,0.0,449,6.0,21,958,533,1.0,1978,1.0,0.0,61,1.0,2.0,77,112,0.0,254,0.0,0.0,1.0,0.0,0.0,4.0,9.0,0.0,14.0,2246
113,SD 35,CUSTER,13.0,0.0,506,9.0,33,2109,964,1.0,3635,2.0,0.0,53,5.0,5.0,227,156,0.0,448,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,9.0,4092
114,SD 35,HUERFANO,22.0,0.0,1886,26.0,55,1263,1442,2.0,4696,6.0,0.0,220,0.0,10.0,188,295,0.0,719,0.0,0.0,2.0,0.0,0.0,5.0,10.0,0.0,17.0,5432
115,SD 35,KIOWA,2.0,0.0,111,0.0,8,570,250,0.0,941,1.0,0.0,14,0.0,0.0,39,40,0.0,94,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,12.0,1047
116,SD 35,LAS ANIMAS,38.0,0.0,3730,24.0,71,2223,2622,3.0,8711,16.0,0.0,744,6.0,13.0,580,855,0.0,2214,0.0,0.0,2.0,0.0,0.0,6.0,14.0,0.0,22.0,10947
117,SD 35,MINERAL,1.0,0.0,262,0.0,2,285,198,0.0,748,0.0,0.0,24,0.0,1.0,45,33,0.0,103,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,854
118,SD 35,OTERO,42.0,1.0,3261,17.0,62,3877,3613,3.0,10876,9.0,0.0,413,5.0,5.0,381,726,0.0,1539,0.0,0.0,22.0,0.0,1.0,66.0,114.0,1.0,204.0,12619
119,SD 35,PROWERS,28.0,1.0,1279,5.0,27,2868,2002,1.0,6211,8.0,0.0,192,1.0,12.0,431,574,0.0,1218,0.0,0.0,16.0,1.0,0.0,33.0,62.0,0.0,112.0,7541
120,SD 35,PUEBLO,50.0,0.0,3877,24.0,97,4472,3966,1.0,12487,7.0,0.0,242,4.0,12.0,388,507,0.0,1160,0.0,0.0,28.0,0.0,2.0,49.0,71.0,0.0,150.0,13797
121,SD 35,RIO GRANDE,32.0,0.0,2068,16.0,48,2716,2049,2.0,6931,7.0,0.0,314,2.0,11.0,410,517,0.0,1261,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,8.0,8200
122,SD 35,SAGUACHE,14.0,0.0,1570,27.0,39,811,1276,1.0,3738,4.0,0.0,242,8.0,8.0,129,309,0.0,700,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,7.0,4445
