,DISTRICT,COUNTY,ACN-ACTIVE,APV-ACTIVE,DEM-ACTIVE,GRN-ACTIVE,LBR-ACTIVE,REP-ACTIVE,UAF-ACTIVE,UNI-ACTIVE,ACTIVE TOTAL,ACN-INACTIVE,APV-INACTIVE,DEM-INACTIVE,GRN-INACTIVE,LBR-INACTIVE,REP-INACTIVE,UAF-INACTIVE,UNI-INACTIVE,INACTIVE TOTAL,ACN-PREREG,APV-PREREG,DEM-PREREG,GRN-PREREG,LBR-PREREG,REP-PREREG,UAF-PREREG,UNI-PREREG,PREREG TOTAL,GRAND TOTAL
0,SD 1,CHEYENNE,3.0,0.0,129,0.0,2,804,296,0.0,1234,0.0,0.0,23,1.0,0.0,82,61,0.0,167,2.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,16.0,1417
1,SD 1,ELBERT,58.0,0.0,2185,23.0,204,10150,6128,0.0,18748,9.0,0.0,239,3.0,18.0,966,794,0.0,2029,0.0,0.0,16.0,1.0,1.0,152.0,170.0,0.0,340.0,21117
2,SD 1,KIT CARSON,16.0,1.0,519,6.0,24,2507,1276,4.0,4353,6.0,0.0,85,0.0,6.0,269,326,0.0,692,3.0,0.0,4.0,0.0,1.0,25.0,18.0,0.0,51.0,5096
3,SD 1,LINCOLN,12.0,0.0,377,3.0,18,1669,669,0.0,2748,3.0,0.0,73,1.0,4.0,206,195,0.0,482,0.0,0.0,0.0,0.0,0.0,23.0,15.0,0.0,38.0,3268
4,SD 1,LOGAN,47.0,1.0,1665,12.0,88,5858,3497,4.0,11172,7.0,0.0,279,3.0,13.0,608,975,0.0,1885,0.0,0.0,1.0,0.0,1.0,17.0,44.0,0.0,63.0,13120
5,SD 1,MORGAN,68.0,3.0,2859,18.0,118,6457,5477,9.0,15009,14.0,0.0,332,5.0,11.0,574,897,0.0,1833,0.0,0.0,7.0,0.0,0.0,45.0,87.0,0.0,139.0,16981
6,SD 1,PHILLIPS,5.0,0.0,374,3.0,15,1540,736,0.0,2673,2.0,0.0,121,2.0,1.0,261,189,0.0,576,0.0,0.0,2.0,0.0,0.0,7.0,7.0,0.0,16.0,3265
7,SD 1,SEDGWICK,8.0,0.0,259,2.0,5,872,410,0.0,1556,0.0,0.0,37,0.0,4.0,126,121,0.0,288,0.0,0.0,2.0,0.0,0.0,4.0,7.0,0.0,13.0,1857
8,SD 1,WASHINGTON,17.0,0.0,251,1.0,20,2154,593,1.0,3037,0.0,0.0,49,0.0,1.0,190,125,0.0,365,0.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,8.0,3410
9,SD 1,WELD,114.0,2.0,3473,24.0,206,10854,8238,4.0,22915,17.0,0.0,402,4.0,29.0,974,1179,0.0,2605,1.0,0.0,20.0,0.0,0.0,106.0,163.0,0.0,290.0,25810
10,SD 1,YUMA,26.0,1.0,701,3.0,28,3007,1680,2.0,5448,3.0,0.0,96,0.0,3.0,255,279,0.0,636,1.0,0.0,4.0,0.0,0.0,26.0,52.0,0.0,83.0,6167
12,SD 2,CLEAR CREEK,19.0,0.0,2114,22.0,118,1885,2800,0.0,6958,10.0,0.0,284,9.0,20.0,335,594,0.0,1252,0.0,0.0,11.0,0.0,1.0,9.0,36.0,0.0,57.0,8267
13,SD 2,EL PASO,187.0,2.0,5424,80.0,442,12122,11187,17.0,29461,29.0,0.0,1010,16.0,55.0,1873,2545,1.0,5529,2.0,0.0,54.0,0.0,3.0,110.0,223.0,0.0,392.0,35382
14,SD 2,FREMONT,146.0,0.0,4973,65.0,265,11867,9613,11.0,26940,34.0,0.0,695,11.0,56.0,1565,2165,3.0,4529,0.0,0.0,12.0,1.0,3.0,34.0,79.0,0.0,129.0,31598
15,SD 2,PARK,55.0,0.0,2427,61.0,180,5088,4984,1.0,12796,14.0,0.0,367,9.0,26.0,751,994,0.0,2161,1.0,0.0,15.0,1.0,0.0,21.0,49.0,0.0,87.0,15044
16,SD 2,TELLER,79.0,2.0,2688,55.0,236,8220,5841,5.0,17126,12.0,0.0,488,6.0,32.0,1432,1427,1.0,3398,0.0,0.0,6.0,1.0,1.0,49.0,82.0,1.0,140.0,20664
18,SD 3,PUEBLO,372.0,4.0,36258,236.0,727,20719,28547,49.0,86912,72.0,0.0,4248,48.0,133.0,2640,6057,8.0,13206,3.0,0.0,252.0,3.0,11.0,155.0,501.0,1.0,926.0,101044
20,SD 4,DOUGLAS,217.0,4.0,21579,199.0,1538,52242,41730,28.0,117537,33.0,0.0,2430,26.0,171.0,6438,6036,3.0,15137,5.0,0.0,285.0,7.0,14.0,782.0,1399.0,1.0,2493.0,135167
22,SD 5,CHAFFEE,31.0,0.0,3534,31.0,116,4397,5181,3.0,13293,11.0,0.0,410,17.0,21.0,615,1063,0.0,2137,0.0,0.0,6.0,0.0,0.0,23.0,53.0,0.0,82.0,15512
23,SD 5,DELTA,95.0,1.0,3464,60.0,182,9187,6924,5.0,19918,25.0,0.0,366,7.0,23.0,908,1072,0.0,2401,1.0,0.0,18.0,0.0,1.0,78.0,117.0,0.0,215.0,22534
24,SD 5,EAGLE,66.0,1.0,9032,99.0,389,7278,13692,7.0,30564,7.0,0.0,1358,48.0,79.0,1230,3027,2.0,5751,1.0,0.0,123.0,0.0,5.0,98.0,435.0,0.0,662.0,36977
25,SD 5,GUNNISON,37.0,0.0,3595,62.0,190,2674,4649,6.0,11213,4.0,0.0,640,19.0,24.0,574,1414,0.0,2675,0.0,0.0,14.0,1.0,1.0,9.0,60.0,0.0,85.0,13973
26,SD 5,HINSDALE,0.0,0.0,89,0.0,8,394,198,0.0,689,0.0,0.0,14,0.0,0.0,48,26,0.0,88,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,782
27,SD 5,LAKE,15.0,0.0,1752,27.0,63,806,1606,1.0,4270,3.0,0.0,338,6.0,22.0,204,492,0.0,1065,0.0,0.0,7.0,1.0,0.0,2.0,25.0,0.0,35.0,5370
28,SD 5,PITKIN,19.0,0.0,4729,66.0,136,1952,5632,5.0,12539,4.0,0.0,883,18.0,32.0,472,1508,0.0,2917,0.0,0.0,48.0,0.0,1.0,13.0,124.0,0.0,186.0,15642
30,SD 6,ARCHULETA,36.0,0.0,1999,27.0,88,3975,2937,1.0,9063,5.0,0.0,460,11.0,12.0,842,708,1.0,2039,0.0,0.0,3.0,0.0,0.0,16.0,38.0,0.0,57.0,11159
31,SD 6,DOLORES,10.0,0.0,266,1.0,10,731,475,0.0,1493,4.0,0.0,43,0.0,1.0,73,133,0.0,254,0.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,18.0,1765
32,SD 6,LA PLATA,116.0,0.0,11567,206.0,469,10603,13798,18.0,36777,29.0,0.0,2470,75.0,123.0,2301,3951,1.0,8950,0.0,0.0,57.0,0.0,2.0,74.0,183.0,0.0,316.0,46043
33,SD 6,MONTEZUMA,77.0,0.0,3506,73.0,130,7256,5459,2.0,16503,16.0,0.0,769,14.0,16.0,1124,1654,2.0,3595,0.0,0.0,9.0,0.0,2.0,50.0,68.0,0.0,129.0,20227
34,SD 6,MONTROSE,121.0,3.0,4397,53.0,181,11860,8766,12.0,25393,20.0,0.0,451,9.0,21.0,1193,1417,4.0,3115,1.0,0.0,22.0,1.0,1.0,89.0,125.0,0.0,239.0,28747
35,SD 6,OURAY,8.0,0.0,1141,28.0,41,1202,1456,1.0,3877,4.0,0.0,155,3.0,8.0,268,311,0.0,749,0.0,1.0,5.0,1.0,0.0,6.0,17.0,0.0,30.0,4656
36,SD 6,SAN JUAN,3.0,0.0,166,5.0,15,114,283,0.0,586,1.0,0.0,32,2.0,2.0,38,85,0.0,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746
37,SD 6,SAN MIGUEL,14.0,0.0,2414,54.0,70,860,1915,2.0,5329,2.0,0.0,469,15.0,22.0,173,525,1.0,1207,0.0,0.0,13.0,0.0,0.0,4.0,21.0,0.0,38.0,6574
39,SD 7,MESA,413.0,2.0,17101,228.0,1058,39473,34941,34.0,93250,82.0,0.0,4676,87.0,242.0,9527,11787,5.0,26406,4.0,0.0,91.0,2.0,7.0,252.0,515.0,0.0,871.0,120527
41,SD 8,GARFIELD,107.0,1.0,8102,99.0,324,9829,13837,6.0,32305,21.0,0.0,820,32.0,62.0,1339,2776,2.0,5052,2.0,0.0,106.0,1.0,0.0,121.0,414.0,0.0,644.0,38001
42,SD 8,GRAND,34.0,0.0,2318,37.0,152,4059,4077,4.0,10681,4.0,0.0,281,10.0,10.0,387,769,0.0,1461,1.0,0.0,16.0,0.0,0.0,36.0,69.0,0.0,122.0,12264
43,SD 8,JACKSON,4.0,0.0,91,3.0,5,663,218,0.0,984,0.0,0.0,34,0.0,2.0,130,86,0.0,252,0.0,0.0,1.0,0.0,0.0,6.0,7.0,0.0,14.0,1250
44,SD 8,MOFFAT,37.0,2.0,734,8.0,54,4115,2745,0.0,7695,11.0,0.0,345,5.0,13.0,1022,1116,0.0,2512,1.0,0.0,0.0,0.0,0.0,31.0,125.0,0.0,157.0,10364
45,SD 8,RIO BLANCO,9.0,1.0,283,4.0,41,2615,944,0.0,3897,1.0,0.0,46,1.0,5.0,304,336,0.0,693,1.0,0.0,2.0,0.0,2.0,34.0,45.0,0.0,84.0,4674
46,SD 8,ROUTT,49.0,0.0,5118,72.0,211,4460,7240,6.0,17156,9.0,0.0,847,47.0,62.0,857,1617,0.0,3439,0.0,0.0,30.0,0.0,0.0,35.0,164.0,0.0,229.0,20824
